source_url,review,shop_name,rating
https://www.google.com/maps/place/BASE+shop+Li%C3%A8ge+Belle-%C3%AEle/data=!4m7!3m6!1s0x47c0f745c941a99d:0xad53da58162d38e3!8m2!3d50.615494!4d5.5962731!16s%2Fg%2F11c1q6ffhr!19sChIJnalByUX3wEcR4zgtFljaU60?authuser=0&hl=en&rclk=1,87,BASE shop Liège Belle-île,3.7
https://www.google.com/maps/place/BASE+shop+Louvain-La-Neuve/data=!4m7!3m6!1s0x47c17e76711e53b7:0x7a6c7ff84fb350cf!8m2!3d50.6695462!4d4.6129883!16s%2Fg%2F11r8w16gn!19sChIJt1MecXZ-wUcRz1CzT_h_bHo?authuser=0&hl=en&rclk=1,47,BASE shop Louvain-La-Neuve,3.5
https://www.google.com/maps/place/BASE+shop+Mechelen/data=!4m7!3m6!1s0x47c3e5c95f731619:0x12ed242c9d09a160!8m2!3d51.0267871!4d4.4809097!16s%2Fg%2F11b5s2lftg!19sChIJGRZzX8nlw0cRYKEJnSwk7RI?authuser=0&hl=en&rclk=1,102,BASE shop Mechelen,3.9
https://www.google.com/maps/place/BASE+shop+Mons+-+Les+Grands+Pr%C3%A9s/data=!4m7!3m6!1s0x47c2500da7d7a69d:0x4bb4b5291c8365c9!8m2!3d50.4559243!4d3.9323935!16s%2Fg%2F1hdzvj7q8!19sChIJnabXpw1QwkcRyWWDHCm1tEs?authuser=0&hl=en&rclk=1,42,BASE shop Mons - Les Grands Prés,3.4
https://www.google.com/maps/place/BASE+shop+Namur/data=!4m7!3m6!1s0x47c1996c3d66ba23:0xf96bce99773f20f2!8m2!3d50.467695!4d4.865284!16s%2Fg%2F1pxwdsvx_!19sChIJI7pmPWyZwUcR8iA_d5nOa_k?authuser=0&hl=en&rclk=1,197,BASE shop Namur,3.9
https://www.google.com/maps/place/BASE+shop+Uccle/data=!4m7!3m6!1s0x47c3c5b23a94b875:0x1c8dae5e4f1e7657!8m2!3d50.8023606!4d4.3367264!16s%2Fg%2F1tmxdqty!19sChIJdbiUOrLFw0cRV3YeT16ujRw?authuser=0&hl=en&rclk=1,113,BASE shop Uccle,3.6
https://www.google.com/maps/place/BASE+shop+Waterloo/data=!4m7!3m6!1s0x47c3d1d1f293dcc3:0xa9fda76fd5bf9c7c!8m2!3d50.7153921!4d4.3988482!16s%2Fg%2F1thn4pd_!19sChIJw9yT8tHRw0cRfJy_1W-n_ak?authuser=0&hl=en&rclk=1,69,BASE shop Waterloo,3.9
https://www.google.com/maps/place/BASE+shop+Westland+shopping/data=!4m7!3m6!1s0x47c3c6b9eb51c271:0xb372e54982630228!8m2!3d50.8386328!4d4.2872333!16s%2Fg%2F1pzwbg55y!19sChIJccJR67nGw0cRKAJjgknlcrM?authuser=0&hl=en&rclk=1,53,BASE shop Westland shopping,3.5
https://www.google.com/maps/place/Base+Wavre/data=!4m7!3m6!1s0x47c17d360d0701eb:0xbbe11fea9c5ec99f!8m2!3d50.7161319!4d4.6094023!16s%2Fg%2F11r9mbh0p9!19sChIJ6wEHDTZ9wUcRn8lenOof4bs?authuser=0&hl=en&rclk=1,55,Base Wavre,4.3
https://www.google.com/maps/place/BEKATEL+Ertvelde+-+Evergem/data=!4m7!3m6!1s0x47c37bdc8b512563:0x28c95edb623d0151!8m2!3d51.1777637!4d3.7460397!16s%2Fg%2F1tdb3fg3!19sChIJYyVRi9x7w0cRUQE9YtteySg?authuser=0&hl=en&rclk=1,417,BEKATEL Ertvelde - Evergem,4.5
